page_id,title,actual,predicted,correct
2390ba42-1596-4ecf-a76b-9dd9e06cf59c,냉/난방기 제어 안내,오피스,오피스,True
229b6389-ca97-4e51-a283-fdffcbd04433,우리팀의 “Job Level”,성과/성장,성과/성장,True
222939e6-0d5f-4594-99fe-ad4e077eab95,리더십의 의미,리더십,리더십,True
1fc0592a-4a92-8097-9dd7-d4a5f314a4ec,법인카드 이용 안내,생활 지원,업무 지원,False
1e50592a-4a92-8008-9a83-f8d0896458cc,[Live Q&A] Hey Nam! Why?,문화/ 팀빌딩,문화/ 팀빌딩,True
1e00592a-4a92-8094-8493-c16f1bb1c000,2025 Leadership Journey,리더십,리더십,True
1d80592a-4a92-806c-abe9-e0d4d4899830,고객사 주차 지원 안내,업무 지원,업무 지원,True
1c10592a-4a92-80c9-ab49-ef141ebb2fbb,우리팀의 1on1 Ground Rule 😎,성과/성장,리더십,False
1bd0592a-4a92-8087-9845-eb860538231e,2025 Leadership Session,리더십,리더십,True
1b49ceb6-364a-4542-b7c0-c3213fc4c924,건물 내 이동,오피스,오피스,True
1930592a-4a92-80de-a66f-d41e27741279,리더십 콘텐츠 모음.zip,리더십,리더십,True
1930592a-4a92-80d0-8158-fe3d581a4e7f,Lead Standards 실천 선언문(25’1Q),리더십,리더십,True
185d3cf2-fd6d-4aae-a200-cc6893e39ee4,식사 지원 안내,생활 지원,업무 지원,False
17de7c91-425b-4573-b9b4-7fc9e89c3475,주식매수선택권 행사,성과/성장,성과/성장,True
17b0592a-4a92-8019-bc1c-c18a38bdc243,총 보상 프레임워크 및 2025년 총 보상 조정 안내,성과/성장,성과/성장,True
16d0592a-4a92-8085-bfc8-c40655946b6e,와이파이(Wifi) 사용 가이드_v2,업무 지원,업무 지원,True
1220592a-4a92-8015-9696-d837f62c92f6,장기휴가/휴직 구성원 지급품 관리,업무 지원,근무 제도,False
1200592a-4a92-801d-8ed1-caa547e9f722,[IT] 직무 별 지급자산(PC) 기준,업무 지원,ERROR,False
11954a0a-7a78-4a06-ba79-c36e0fb09486,복지 철학,원칙/ 철학,생활 지원,False
0f52bfbf-2b6f-416b-ac21-85f6219b0269,CFR 대화,리더십,성과/성장,False
0b6f1ab2-b704-4ef9-8acf-f118c11cf32f,N주년 세션,문화/ 팀빌딩,ERROR,False
0b62efe5-aec1-4870-a12b-b32feede0814,차량유지 비과세 신청,생활 지원,생활 지원,True
0aa36cca-15f4-4798-99ea-6f71fc14b163,증명서 발급 안내,생활 지원,채용,False
0a7a4344-1ccb-473e-8582-b25cc1861824,외근,근무 제도,근무 제도,True
